30B;29;19301;19400;3705;4159;1939;1939;5024;5024
30B;29;19401;19500;3732;4190;1965;1965;5055;5055
30B;29;19501;19600;3758;4221;1991;1991;5089;5089
30B;29;19601;19700;3784;4253;2018;2018;5120;5120
30B;29;19701;19800;3810;4284;2044;2044;5152;5152
30B;29;19801;19900;3836;4316;2071;2071;5183;5183
30B;29;19901;20000;3862;4347;2097;2097;5215;5215
30B;29;20001;20200;3914;4412;2152;2152;5280;5280
30B;29;20201;20400;3966;4475;2205;2205;5343;5343
30B;29;20401;20600;4018;4538;2258;2258;5408;5408
30B;29;20601;20800;4070;4601;2311;2311;5471;5471
30B;29;20801;21000;4122;4664;2364;2364;5534;5534
30B;29;21001;21200;4174;4727;2417;2417;5599;5599
30B;29;21201;21400;4226;4789;2469;2469;5662;5662
30B;29;21401;21600;4278;4855;2525;2525;5727;5727
30B;29;21601;21800;4330;4917;2577;2577;5790;5790
30B;29;21801;22000;4382;4980;2630;2630;5853;5853
30B;29;22001;22200;4434;5043;2683;2683;5918;5918
30B;29;22201;22400;4487;5106;2736;2736;5981;5981
30B;29;22401;22600;4539;5169;2789;2789;6046;6046
30B;29;22601;22800;4591;5234;2844;2844;6109;6109
30B;29;22801;23000;4643;5297;2897;2897;6172;6172
30B;29;23001;23200;4695;5360;2950;2950;6237;6237
30B;29;23201;23400;4747;5423;3003;3003;6300;6300
30B;29;23401;23600;4799;5485;3055;3055;6365;6365
30B;29;23601;23800;4851;5548;3108;3108;6428;6428
30B;29;23801;24000;4903;5613;3163;3163;6491;6491
30B;29;24001;24200;4955;5676;3216;3216;6556;6556
30B;29;24201;24400;5007;5739;3269;3269;6619;6619
30B;29;24401;24600;5059;5802;3322;3322;6684;6684
30B;29;24601;24800;5111;5865;3375;3375;6747;6747
30B;29;24801;25000;5163;5928;3428;3428;6810;6810
30B;29;25001;25200;5216;5993;3493;3493;6875;6875
30B;29;25201;25400;5268;6056;3556;3556;6938;6938
30B;29;25401;25600;5320;6119;3619;3619;7003;7003
30B;29;25601;25800;5372;6181;3681;3681;7066;7066
30B;29;25801;26000;5424;6244;3744;3744;7129;7129
30B;29;26001;26200;5476;6307;3807;3807;7194;7194
30B;29;26201;26400;5528;6370;3870;3870;7257;7257
30B;29;26401;26600;5580;6435;3935;3935;7322;7322
30B;29;26601;26800;5632;6498;3998;3998;7385;7385
30B;29;26801;27000;5684;6561;4061;4061;7448;7448
30B;29;27001;27200;5736;6624;4124;4124;7513;7513
30B;29;27201;27400;5788;6686;4186;4186;7576;7576
30B;29;27401;27600;5840;6749;4249;4249;7641;7641
30B;29;27601;27800;5892;6815;4315;4315;7704;7704
30B;29;27801;28000;5944;6877;4377;4377;7767;7767
